experiment_id,run_id,case_id,symbol,decision_session,decision_time_utc,execution_session,action,decision_status,rebalance_status,provider,quick_model,deep_model,thinking_mode,temperature,research_depth,debate_rounds,risk_rounds,graph_config_sha256,portfolio_equity_before,portfolio_weight_before,report_path,source_audit_path,cache_key,cache_status,wall_clock_seconds,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-05,AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-08,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-01-05/reports,strategy/cases/AAPL/2024-01-05/source_audit.json,24826cba8dcb966ae2f12f39aff7f2fc9cb028b49d9b4570d5b089677f1b0ed4,miss,362.96522049999476,316532,111104,205428,37804,,354336
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-12,AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-16,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-01-12/reports,strategy/cases/AAPL/2024-01-12/source_audit.json,4ab1f8e8a3c2c6b6b599388cfd7792a7ac5de256caebd10604971da3241f68da,miss,388.68120362500485,319591,101248,218343,40981,,360572
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-19,AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-22,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-01-19/reports,strategy/cases/AAPL/2024-01-19/source_audit.json,4f0e376906576d4a2f72a6b96f82ca05e24fb058f9c97991998a28f1e36ad4bd,miss,360.3237880000015,322473,87168,235305,41889,,364362
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-01-26,AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-29,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-01-26/reports,strategy/cases/AAPL/2024-01-26/source_audit.json,908b397954908db18b9c8e7e00f200a3c33deafc4aecbb5b0301aebb3bb72a59,miss,366.945477250003,327062,90880,236182,41192,,368254
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-02-02,AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-05,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-02-02/reports,strategy/cases/AAPL/2024-02-02/source_audit.json,2d1aef37b5d475c59d5728bcccb0f40bf5e3235cf2bf2b3813a3136b5ce4a5cc,miss,316.13775716699456,284851,82048,202803,33454,,318305
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-02-09,AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-12,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-02-09/reports,strategy/cases/AAPL/2024-02-09/source_audit.json,88039539695a2012163d64ca7912b6d90d09213d677970522194ea79e91bf2a9,miss,358.68043904199294,324761,101760,223001,40047,,364808
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-02-16,AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-20,HOLD,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-02-16/reports,strategy/cases/AAPL/2024-02-16/source_audit.json,e02b97faeef55796b58bc977ef93a209ab26964cba43ab0dbd36c4cf2f2e6fcd,miss,397.65783904099953,335081,97024,238057,42244,,377325
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-02-23,AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-26,SELL,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-02-23/reports,strategy/cases/AAPL/2024-02-23/source_audit.json,cd0077c3216e5a99016c44694b3c38e2af81aac0fed6045d26c1d2362e88a618,miss,354.6998745000019,321841,99328,222513,39454,,361295
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-03-01,AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-04,SELL,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-03-01/reports,strategy/cases/AAPL/2024-03-01/source_audit.json,070da20d724b02d064bba35dad1867cb3e08734645e754e0ede271b61de2ac1f,miss,366.1637026249955,325195,93696,231499,41673,,366868
M1_finmultitime_prompt_2024H1,20260814T015553499023Z_ac0d1b00,AAPL:2024-03-08,AAPL,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-11,SELL,success,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,3d1038214801fd967a29b93485793183dd4d3cd82d2c4020d03ca5fe018b0d88,100000.0,0.0,strategy/cases/AAPL/2024-03-08/reports,strategy/cases/AAPL/2024-03-08/source_audit.json,de2cdc937a124db7af8266d2d546fb7c22161fed014b2e8dcd0ca37280457f89,miss,336.8766973330057,312481,89728,222753,38613,,351094
